,created_at,text
0,Wed Apr 07 01:49:06 +0000 2021,"RT @Teslarati: President Joe Biden's EV tax credit could reach $10,000, and it has analysts on Wall Street increasing their outlook for $TS…"
1,Wed Apr 07 01:48:29 +0000 2021,"RT @Teslarati: President Joe Biden's EV tax credit could reach $10,000, and it has analysts on Wall Street increasing their outlook for $TS…"
2,Wed Apr 07 01:48:06 +0000 2021,RT @Rifleman4WVU: NANCY PELOSI‘s Husband invests 1.25 million in tesla stock 1 day before biden announces he is going to purchase a whole n…
3,Wed Apr 07 01:44:20 +0000 2021,@tweetoflbc @JaredUllrich @iftardk @gurgavin No doubt Tesla will be the biggest company on the planet in a few year… https://t.co/2snH7bOR9V
4,Wed Apr 07 01:43:35 +0000 2021,"RT @stevenmarkryan: https://t.co/97lKrORhti - Tesla Stock To Gain +50% Says Top 0.1% Analyst 🚀

NEW

$TSLA @Tesla #Tesla https://t.co/bWAQU…"
5,Wed Apr 07 01:38:07 +0000 2021,"RT @Teslarati: President Joe Biden's EV tax credit could reach $10,000, and it has analysts on Wall Street increasing their outlook for $TS…"
6,Wed Apr 07 01:36:22 +0000 2021,RT @Rifleman4WVU: NANCY PELOSI‘s Husband invests 1.25 million in tesla stock 1 day before biden announces he is going to purchase a whole n…
7,Wed Apr 07 01:35:26 +0000 2021,RT @watchmeu777: https://t.co/yKPkEJ6P6F $tsla $900
8,Wed Apr 07 01:35:11 +0000 2021,RT @Rifleman4WVU: NANCY PELOSI‘s Husband invests 1.25 million in tesla stock 1 day before biden announces he is going to purchase a whole n…
9,Wed Apr 07 01:35:07 +0000 2021,"RT @Teslarati: President Joe Biden's EV tax credit could reach $10,000, and it has analysts on Wall Street increasing their outlook for $TS…"
10,Wed Apr 07 01:31:41 +0000 2021,@MorkOrg @Erdayastronaut @Tesla @SpaceX @elonmusk Tesla clearly focused on ramp up as shareholder expectations are… https://t.co/4alRSfl7iy
11,Wed Apr 07 01:28:01 +0000 2021,A Roth Capital analyst says Tesla’s stock is worth $150 — which would be a 78% discount https://t.co/kPN2QTqz4g
12,Wed Apr 07 01:27:46 +0000 2021,RT @Rifleman4WVU: NANCY PELOSI‘s Husband invests 1.25 million in tesla stock 1 day before biden announces he is going to purchase a whole n…
13,Wed Apr 07 01:25:24 +0000 2021,RT @Rifleman4WVU: NANCY PELOSI‘s Husband invests 1.25 million in tesla stock 1 day before biden announces he is going to purchase a whole n…
14,Wed Apr 07 01:24:42 +0000 2021,PLS SELL ME YOUR SHARES AT $150!!!  A Roth Capital analyst says Tesla’s stock is worth $150 — which would be a 78%… https://t.co/EiY48DgRtx
15,Wed Apr 07 01:24:41 +0000 2021,"RT @Teslarati: President Joe Biden's EV tax credit could reach $10,000, and it has analysts on Wall Street increasing their outlook for $TS…"
16,Wed Apr 07 01:24:01 +0000 2021,"Strong Q1 Delivery Numbers  Could Make Tesla a $1,000 Stock, Says Analyst https://t.co/9Bw6jyPbsH #crypto #bitcoin #fintech #finance #news"
17,Wed Apr 07 01:23:39 +0000 2021,"RT @Teslarati: President Joe Biden's EV tax credit could reach $10,000, and it has analysts on Wall Street increasing their outlook for $TS…"
18,Wed Apr 07 01:22:49 +0000 2021,"RT @Teslarati: President Joe Biden's EV tax credit could reach $10,000, and it has analysts on Wall Street increasing their outlook for $TS…"
19,Wed Apr 07 01:22:18 +0000 2021,RT @Rifleman4WVU: NANCY PELOSI‘s Husband invests 1.25 million in tesla stock 1 day before biden announces he is going to purchase a whole n…
20,Wed Apr 07 01:22:05 +0000 2021,RT @InsideEVs: Analyst Says Tesla's Stock Could Blow Up With Biden's EV Ambitions https://t.co/p29aMQtGTi via @insideevs.com
21,Wed Apr 07 01:21:34 +0000 2021,"RT @Teslarati: President Joe Biden's EV tax credit could reach $10,000, and it has analysts on Wall Street increasing their outlook for $TS…"
22,Wed Apr 07 01:21:33 +0000 2021,"RT @Teslarati: Tesla stock outlook soars to $1,300 per share, driven by Biden's $10k EV tax credit https://t.co/kAf9VNmKPw by @KlenderJoey"
23,Wed Apr 07 01:19:48 +0000 2021,"Dow Jones Futures: Stock Market Rally Holds Gains As Square, Sea, Chipotle Flash Buy Signals; Tesla Faces Key Test https://t.co/vBMT6tDquS"
24,Wed Apr 07 01:17:24 +0000 2021,"RT @Teslarati: President Joe Biden's EV tax credit could reach $10,000, and it has analysts on Wall Street increasing their outlook for $TS…"
25,Wed Apr 07 01:16:19 +0000 2021,"RT @Teslarati: President Joe Biden's EV tax credit could reach $10,000, and it has analysts on Wall Street increasing their outlook for $TS…"
26,Wed Apr 07 01:16:14 +0000 2021,"RT @Teslarati: President Joe Biden's EV tax credit could reach $10,000, and it has analysts on Wall Street increasing their outlook for $TS…"
27,Wed Apr 07 01:16:01 +0000 2021,RT @Rifleman4WVU: NANCY PELOSI‘s Husband invests 1.25 million in tesla stock 1 day before biden announces he is going to purchase a whole n…
28,Wed Apr 07 01:14:44 +0000 2021,@mcsassymd @physicianwealth Pay off loans. Tesla stock via Robinhood; Bitcoin. Cayman’s account. #livethedream #igivegoodadvice
29,Wed Apr 07 01:14:37 +0000 2021,"RT @Teslarati: President Joe Biden's EV tax credit could reach $10,000, and it has analysts on Wall Street increasing their outlook for $TS…"
30,Wed Apr 07 01:14:30 +0000 2021,RT @Rifleman4WVU: NANCY PELOSI‘s Husband invests 1.25 million in tesla stock 1 day before biden announces he is going to purchase a whole n…
31,Wed Apr 07 01:13:56 +0000 2021,"RT @onlineEV: Tesla jumps 6% after Cathie Wood says the stock can hit $3,000 because of possible robotaxi service https://t.co/9NNc9JxJF0"
32,Wed Apr 07 01:13:55 +0000 2021,RT @Rifleman4WVU: NANCY PELOSI‘s Husband invests 1.25 million in tesla stock 1 day before biden announces he is going to purchase a whole n…
33,Wed Apr 07 01:13:37 +0000 2021,A Roth Capital analyst says Tesla’s stock is worth $150 — which would be a 78% discount https://t.co/aCE07FWrDy
34,Wed Apr 07 01:13:15 +0000 2021,"RT @Teslarati: President Joe Biden's EV tax credit could reach $10,000, and it has analysts on Wall Street increasing their outlook for $TS…"
35,Wed Apr 07 01:13:12 +0000 2021,"RT @Teslarati: President Joe Biden's EV tax credit could reach $10,000, and it has analysts on Wall Street increasing their outlook for $TS…"
36,Wed Apr 07 01:11:26 +0000 2021,Analyst Says Tesla’s Stock Could Blow Up With Biden’s EV Ambitions https://t.co/o2Hi6uMapd
37,Wed Apr 07 01:11:21 +0000 2021,"RT @Teslarati: President Joe Biden's EV tax credit could reach $10,000, and it has analysts on Wall Street increasing their outlook for $TS…"
38,Wed Apr 07 01:11:19 +0000 2021,"🚨Know Your Way Holdings (stock value analysis) 🧮 2nd Ed Newsletter👉🏻💻:  https://t.co/jVPnzPK27E

#investing #TSLA… https://t.co/k3Gi9EM6IY"
39,Wed Apr 07 01:10:57 +0000 2021,"RT @Teslarati: President Joe Biden's EV tax credit could reach $10,000, and it has analysts on Wall Street increasing their outlook for $TS…"
40,Wed Apr 07 01:10:54 +0000 2021,RT @Rifleman4WVU: NANCY PELOSI‘s Husband invests 1.25 million in tesla stock 1 day before biden announces he is going to purchase a whole n…
41,Wed Apr 07 01:10:33 +0000 2021,"RT @Teslarati: President Joe Biden's EV tax credit could reach $10,000, and it has analysts on Wall Street increasing their outlook for $TS…"
42,Wed Apr 07 01:08:02 +0000 2021,"RT @Teslarati: President Joe Biden's EV tax credit could reach $10,000, and it has analysts on Wall Street increasing their outlook for $TS…"
43,Wed Apr 07 01:06:36 +0000 2021,"RT @SawyerMerritt: NEWS: Wedbush analyst Dan Ives: 

“We are hearing from our contacts in the Beltway that $7,500 tax credit could potentia…"
44,Wed Apr 07 01:06:10 +0000 2021,"RT @Teslarati: President Joe Biden's EV tax credit could reach $10,000, and it has analysts on Wall Street increasing their outlook for $TS…"
45,Wed Apr 07 01:04:19 +0000 2021,"RT @Teslarati: President Joe Biden's EV tax credit could reach $10,000, and it has analysts on Wall Street increasing their outlook for $TS…"
46,Wed Apr 07 01:03:01 +0000 2021,"RT @gg_gisg_t: テスラは、超割高？？

Roth Capital社のアナリストは、Tesla（ $TSLA ）の株価が150ドルの価値があると言っています。これは78％の割引です。

Tesla (TLSA) stock is overvalued and wor…"
47,Wed Apr 07 01:02:44 +0000 2021,RT @Rifleman4WVU: NANCY PELOSI‘s Husband invests 1.25 million in tesla stock 1 day before biden announces he is going to purchase a whole n…
48,Wed Apr 07 00:58:36 +0000 2021,RT @Rifleman4WVU: NANCY PELOSI‘s Husband invests 1.25 million in tesla stock 1 day before biden announces he is going to purchase a whole n…
49,Wed Apr 07 00:58:20 +0000 2021,"RT @Teslarati: President Joe Biden's EV tax credit could reach $10,000, and it has analysts on Wall Street increasing their outlook for $TS…"
50,Wed Apr 07 00:57:02 +0000 2021,RT @Rifleman4WVU: NANCY PELOSI‘s Husband invests 1.25 million in tesla stock 1 day before biden announces he is going to purchase a whole n…
51,Wed Apr 07 00:55:51 +0000 2021,"@realMeetKevin lol, Kevin!  

Coinbase could also launch TESLA COIN and Tesla Inc. can back up the TESLA COIN with… https://t.co/DZwvoBl0yU"
52,Wed Apr 07 00:55:48 +0000 2021,"Deere &amp; Company Is The Undervalued Future Tesla Of Agriculture

https://t.co/XGcFfab8c0
Author: Colin Lea
#agriculture #farming"
53,Wed Apr 07 00:55:46 +0000 2021,Analyst Says Tesla’s Stock Could Blow Up With Biden’s EV Ambitions https://t.co/1fByxVawz5
54,Wed Apr 07 00:55:36 +0000 2021,"RT @Teslarati: President Joe Biden's EV tax credit could reach $10,000, and it has analysts on Wall Street increasing their outlook for $TS…"
55,Wed Apr 07 00:54:59 +0000 2021,"RT @Teslarati: President Joe Biden's EV tax credit could reach $10,000, and it has analysts on Wall Street increasing their outlook for $TS…"
56,Wed Apr 07 00:54:42 +0000 2021,"RT @Teslarati: President Joe Biden's EV tax credit could reach $10,000, and it has analysts on Wall Street increasing their outlook for $TS…"
57,Wed Apr 07 00:53:07 +0000 2021,"RT @Teslarati: President Joe Biden's EV tax credit could reach $10,000, and it has analysts on Wall Street increasing their outlook for $TS…"
58,Wed Apr 07 00:50:02 +0000 2021,"RT @Teslarati: President Joe Biden's EV tax credit could reach $10,000, and it has analysts on Wall Street increasing their outlook for $TS…"
59,Wed Apr 07 00:50:01 +0000 2021,"@JordanWells33 @PlugInFUD as i see it, TSLAQ is no longer solely focused on the stock and making the case for inevi… https://t.co/cKtNGNTybA"
60,Wed Apr 07 00:49:47 +0000 2021,"RT @Teslarati: President Joe Biden's EV tax credit could reach $10,000, and it has analysts on Wall Street increasing their outlook for $TS…"
